title,salary,city,work_years,education,company_website,describe,acquire
Python开发工程师,25k-50k ,北京,经验5-10年,本科及以上,https://www.lagou.com/gongsi/410579.html,"
        岗位职责：
1、负责自动化运维平台开发，设计并完成各类自动化运维工具开发；
2、负责公司整体运维体系的开发工作，满足自动化、服务化、智能化的长期目标；
3、负责提升团队整体运维效率；
4、负责研究运维领域前沿技术，包括运维自动化技术，监控技术，网络技术等；
5、负责培养和建立专业的运维研发人才队伍。
岗位任职条件：
1. 全日制本科及以上学历，软件工程类、电子信息类、计算机科学类等相关专业背景；
2、本科5年、研究生3年以上运维研发、架构经验；
3、计算机基础扎实，了解常见网络协议(TCP/IP，HTTP等)，扎实的编程能力，一定的算法和数据结构功底，较好的合作开发能力
4、有云计算、运维系统、分布式系统、Web后端等1个或多个系统的研发经验；
5、熟练掌握Python，熟悉一种或多种Python框架，包括但不限于Django、Flask、Tornado、Twisted，掌握常用数据结构和算法；
6、熟悉Linux常用命令,掌握在Linux下进行开发部署测试；
7、熟悉Oracle、MySQL、MongoDB、Redis等数据库，有构建高可用高性能数据库经验者优先；  
8、熟悉高性能、高并发设计方案，例如：全文检索、消息队列等；熟悉高可用系统设计方案，如服务升降级、限流、主备切换等；
9、责任心强，具备快速学习能力和良好沟通能力，能在较大压力下工作；
有以下条件者优先： 
1、对SRE、运维、DevOps拥有深刻理解并且有实践经验；
2、熟悉OpenStack、Docker、Kubernetes等技术；
3、担任过团队运维研发技术负责人。
        ",Python
Python开发工程师,9k-14k ,杭州,经验1-3年,本科及以上,http://hexiaoxiang.com,"
        岗位职责：
1. 负责河小象产品矩阵的相关后端服务以及后台系统的设计和开发工作；
2. 参与产品的需求分析，并且从技术的角度给出产品需求的合理建议；
3. 参与项目的系统架构设计和开发，保证系统的稳定性和可扩展性；
4.  定期总结和复盘工作中的经验和不足，并且在团队内分享。

岗位要求：
1. 本科以上学历，1年以上后端开发经验；
2. 精通Python，能熟练使用Flask/Django/Tornado等Web框架，有Java / Go其他技术站开发经验者优先考虑；
3. 熟练掌握常见数据结构及算法，熟悉多进程/多线程开发模式；
4. 具有MySQL等数据库应用开发经验，有NoSQL（Redis，MongoDB）的实践经验；
5. 熟悉Linux操作系统，了解Docker、K8S，CI相关技术；
6. 对技术有极大的热情，持续不断的通过技术的改进和优化提升业务目标。
        ",后端 分布式
Python开发工程师,9k-15k ,武汉,经验1-3年,本科及以上,http://www.senguo.cc,"
        岗位职责：

 负责森果各系统Web后端功能开发、数据处理和系统维护等。


必备技能：

 熟悉Python语言及其特性，了解相关Python Web框架；
 熟悉MySQL的基本操作；
 掌握面向对象的程序设计思想；
 熟悉Linux开发环境；
 至少使用Python开发过一个Web应用。


加分项：

 学无止境，新框架新技术分分钟搞定；
 玩过至少一种非关系型数据库；
 熟悉HTML5 / CSS3 / JS；
 熟练使用Python标准库，熟悉sqlalchemy、celery、requests、numpy、pandas等第三方库；
 了解非阻塞Web框架Tornado的特性，使用Tornado开发过Web应用。


在个人简历中附上github地址或作品地址，会增加您被HR看中的机会～

注意事项：笔试面试及offer通知都会通过邮箱发放，请密切关注哦~

        ",服务器端 Python
Python开发工程师,20k-30k ,杭州,经验3-5年,本科及以上,http://www.tuya.com,"
        岗位职责：
1、与算法、数据、产品等部门密切合作； 
2、开发可靠,高效准确的数据集市,并提供技术支持；
3、进行算法平台的需求分析，方案设计；
4、研究并实践前沿软件技术。

岗位要求： 
1、本科（统招）及以上学历，精通Python，三年以上开发经验； 
2、熟悉MySQL、MongoDB数据库、数据建模、数据处理调优； 
3、熟悉基于Spark、ElasticSearch、HBase 等大数据平台的相关开发;
4、有一定的数据分析和挖掘能力，能从海量数据提炼核心结果，及时发现和分析其中隐含的变化和问题；
5、高度责任心，积极主动，良好的团队协作精神和执行力，较强的分析问题和解决问题能力； 
6、具有成熟的数据平台搭建经验优先。
        ",Python
python,10k-18k ,上海,经验3-5年,大专及以上,http://www.myinte.com,"
        岗位要求：
1. 熟练掌握python基础语法
2. 熟练使用django restframework框架
3. 熟练使用pythton redis mysql MongoDB操作
4. 熟练使用celery异步框架
5. 熟练使用linux操作系统  
6. 有运维工作经验优先
7. 熟练使用vue框架，有前端html、JS等相关经验
8. 至少使用DRF 和VUE 有一个完整的项目经验
三年工作经验以上优先
        ",Python JS Linux/Unix
python开发工程师,10k-20k ,广州,经验1-3年,本科及以上,http://www.huitouche.com,"
        岗位职责：
1.负责公司业务系统的后端开发；
2.跟进产品需求参与需求分析，进行相关的设计、开发、调试、测试等；
3.能独立完成业务模块的开发。

任职要求：
1、1-3年python后端开发经验，掌握flask等web开发框架；2、熟悉网络编程（TCP/HTTP协议），并具备MQ(kafka等)、高并发实战经验；3、了解git flow开发流程，熟悉CI/CD部署；4、熟悉MySQL数据库，具备MySQL、mongodb、redis等开发和调优经验；5、掌握Linux系统，会shell编程；6、良好的编码风格，至少熟悉其它一种语言(C++、Java、go)。
        ",后端 Python
python,10k-20k ,南京,经验3-5年,本科及以上,http://www.epro.com.cn,"
        1.统招本科学历(学信网可查)，双证齐全2.3年以上开发工作经验3.熟悉python编程
        ",python爬虫 docker MySQL
python,15k-30k ,广州,经验3-5年,本科及以上,http://www.huitouche.com,"
        岗位职责： 
1、熟练掌握flask/tornado等web开发框架，并对其原理有一定了解；
2、能参与分布式系统的设计与实现；
3、熟悉相关调试工具，能够快速定位解决问题；
4、熟悉MySQL、Mongodb、Redis等并结合业务做相关设计工作；
5、良好的编码风格；

岗位任职要求 
1、负责业务系统部分模块的独立设计和开发；
2、跟进产品需求参与需求分析评审，并提出相关技术风险和可信性；
3、高质量完成编码开发工作
        ",Golang Python GO
python,10k-18k ,杭州,经验1-3年,本科及以上,http://www.epro.com.cn,"
        系统性能工具开发工程师
负责Tuning Kit的开发工作，参加方案讨论，高质量交付业务特性；保障业务特性高质量交付。
1.具备独立完成特性设计与开发的能力。
2.精通和熟练运用Python编程。
3.熟悉Django开发者优先。
4.熟悉服务器、网络技术，ARM基础知识,熟悉服务器基本性能测试工具者优先。
5.对待工作认真负责、责任心强，有良好的团队合作精神、沟通能力，能够承受工作压力。
6.要求1年以上工作经验。
7.计算机或者软件及物联网等相关专业。
8.全日制二本及以上学历。

注：外派华为杭州研究院工作，技术方向：Python开发方向
        ",工具软件 通信/网络设备
python开发,9k-17k ,重庆,经验3-5年,本科及以上,http://www.bolaa.com,"
        岗位职责：
1、参与系统设计和核心代码编写，能高效沟通，协调工作；
2、作为团队核心开发，负责相关模的代码编写和产品上线工作，确保项目进度和质量；
3、研发工具体系建设，包括：研发协作、需求/缺陷管理、打包构建、持续集成、依赖管理、研发效率质量度量等；
4、持续跟进和解决系统问题，保证系统的安全、稳定、快速运行。

岗位要求：

计算机、软件工程、大数据等相关专业本科及以上学历；
有大数据项目开发经验；
具有3-5年以上开发经验；
具有大数据、机器学习相关技术者优先考虑
        ",大数据 后端 Python
python开发工程师,15k-24k ,深圳,经验3-5年,本科及以上,http://www.ponted.com,"
        岗位要求：1、精通Python，具有高并发服务器开发经验；2、具有移动app数据接口开发经验；3、熟练使用 Redis 等分布式缓存4、具备 PostgreSQL、MySQL 索引优化、查询优化和存储设计经验5、了解 RPC、分布式队列任务优先
        ",移动互联网 分布式 Linux/Unix 平台
python开发工程师,15k-30k ,深圳,经验1-3年,本科及以上,http://www.orait.cn,"
        岗位职责：

1、负责公司电力大数据平台的规划设计及开发维护，参与开发文档撰写、代码编写、调试维护等工作，并协助其他开发人员解决技术问题；
2、深入理解业务需求，并与运营人员共同对业务模型进行汇总提炼，参与系统建模工作；
3、在保障系统的稳定性，可维护性的基础上，快速响应业务需求；

任职要求：

1、全日制本科以上，计算机相关专业，2年以上Python开发工作经验，Python基础扎实。
2、熟练使用Python相关的框架Django、Flask等，熟悉框架原理机制，熟悉Restful风格API编写。
3、熟练使用linux系统下的软件开发、测试、部署流程、熟练使用git等开发工具。
4、熟悉常用的数据库，不限于MySQL、Redis、PostgreSQL。
5、了解TCP、UDP、HTTP、HTTPs相关的网络知识、多进程、多线程、协程、基本的数据结构和算法。
6、熟悉机器学习、大规模数据处理、docker优先。
        ",大数据 云计算 后端 数据挖掘 数据库
